artist,
"'Bill Haley & His Comets',",
"'Crests',",
"'Dion & The Belmonts',",
"'Fats Domino',",
"'Everly Brothers',",
"'Ella Fitzgerald',",
"'Danny & The Juniors',",
"'Harry Belafonte',",
"'Tony Bennett',",
"'Johnny Mathis',",
"'Big Bopper',",
"'Perez Prado',",
"'Dell-Vikings',",
"'Bobby Freeman',",
"'Crew-Cuts',",
"'Penguins',",
"'Buddy Holly',",
"'Jerry Lee Lewis',",
"'Hank Williams, Sr.',",
"'Flamingos',",
"'Billie Holiday',",
"'Glenn Miller',",
"'Five Satins',",
"'Conway Twitty',",
"'Hank Williams',",
"'Chuck Berry',",
"'Ritchie Valens',",
"'Thurston Harris',",
"'Diamonds',",
"'Four Aces',",
"'Little Richard',",
"'Platters',",
"'Paul Anka',",
"'Bobby Day',",
"'Phil Phillips',",
"'McGuire Sisters',",
"'Champs',",
"'Buddy Holly & The Crickets',",
"'Sheb Wooley',",
"'Patti Page',",
"'George Jones',",
"'Monotones',",
"'Frankie Lymon & The Teenagers',",
"'Coasters',",
