,Rank,Song Title,Song Artist,Year,Genre
0,1,That's Amore,Dean Martin,1953,Oldies
1,2,Come Fly With Me,Frank Sinatra,1958,Oldies
2,3,Jailhouse Rock,Elvis Presley,1957,Oldies
3,4,I Walk The Line,Johnny Cash,1956,Country
4,5,I've Got You Under My Skin,Frank Sinatra,1953,Oldies
5,6,In the Mood,Glenn Miller,1955,Jazz
6,7,All Shook Up,Elvis Presley,1957,Oldies
7,8,La Bamba,Ritchie Valens,1958,Oldies
8,9,You Make Me Feel So Young,Frank Sinatra,1953,Ballad
9,10,Great Balls Of Fire,Jerry Lee Lewis,1957,Country
10,11,Love Me Tender,Elvis Presley,1956,Oldies
11,12,Johnny B. Goode,Chuck Berry,1958,Oldies
12,13,Rock Around The Clock,Bill Haley & His Comets,1956,Oldies
13,14,When I Fall In Love,Nat King Cole,1956,Ballad
14,15,Mack The Knife,Bobby Darin,1959,Oldies
15,16,Hound Dog,Elvis Presley,1956,Oldies
16,17,You Send Me,Sam Cooke,1957,Oldies
17,18,I Get a Kick Out of You,Frank Sinatra,1953,Ballad
18,19,Earth Angel (Will You Be Mine),Penguins,1955,Oldies
19,20,In The Still Of The Night,Five Satins,1956,Oldies
20,21,Blue Suede Shoes,Elvis Presley,1956,Oldies
21,22,I Only Have Eyes For You,Flamingos,1959,Ballad
22,23,Tequila,Champs,1958,Oldies
23,24,Only You (And You Alone),Platters,1955,Ballad
24,25,Our Love Is Here To Stay,Frank Sinatra,1955,Ballad
25,26,Walkin' After Midnight,Patsy Cline,1957,Oldies
26,27,Rockin' Robin,Bobby Day,1958,Swing
27,28,Chantilly Lace,Big Bopper,1958,Oldies
28,29,(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,1955,Oldies
29,30,At The Hop,Danny & The Juniors,1958,Oldies
30,31,Let's Do It (Lets Fall in Love),Ella Fitzgerald,1956,Ballad
31,32,All The Way,Frank Sinatra,1953,Ballad
32,33,Dream Lover,Bobby Darin,1959,Oldies
33,34,Chances Are,Johnny Mathis,1957,Oldies
34,35,Peggy Sue,Buddy Holly,1957,Oldies
35,36,Tutti-Frutti,Little Richard,1956,Oldies
36,37,Don't Be Cruel,Elvis Presley,1956,Oldies
37,38,Put Your Head On My Shoulder,Paul Anka,1959,Oldies
38,39,I'll Be Seeing You,Billie Holiday,1954,Blues
39,40,Smoke Gets In Your Eyes,Platters,1958,Oldies
40,41,Volare,Dean Martin,1958,Oldies
41,42,They Can't Take That Away From Me,Frank Sinatra,1955,Ballad
42,43,Memories Are Made Of This,Dean Martin,1956,Oldies
43,44,Mona Lisa,Nat King Cole,1950,Oldies
44,45,All I Have To Do Is Dream,Everly Brothers,1958,Oldies
45,46,Wake Up Little Susie,Everly Brothers,1957,Oldies
46,47,(Let Me Be Your) Teddy Bear,Elvis Presley,1957,Oldies
47,48,Banana Boat (Day-O),Harry Belafonte,1956,Easy Listening
48,49,Night And Day,Frank Sinatra,1957,Ballad
49,50,Yakety Yak,Coasters,1958,Oldies
50,51,What'd I Say (Part 1),Ray Charles,1959,Oldies
51,52,Little Bitty Pretty One,Thurston Harris,1957,Oldies
52,53,Whole Lotta Shakin' Going On,Jerry Lee Lewis,1957,Country
53,54,Why Do Fools Fall In Love,Frankie Lymon & The Teenagers,1956,Oldies
54,55,Everyday,Buddy Holly,1957,Oldies
55,56,My Funny Valentine,Frank Sinatra,1955,Ballad
56,57,That'll Be The Day,Buddy Holly & The Crickets,1957,Oldies
57,58,Blueberry Hill,Fats Domino,1957,Oldies
58,59,Splish Splash,Bobby Darin,1958,Oldies
59,60,Miss Molly Good Golly,Little Richard,1958,Oldies
60,61,Always,Ella Fitzgerald,1956,Ballad
61,62,Love Is Here To Stay,Frank Sinatra,1955,Ballad
62,63,Come Go With Me,Dell-Vikings,1957,Oldies
63,64,Misty,Johnny Mathis,1959,Oldies
64,65,Sea Of Love,Phil Phillips,1959,Oldies
65,66,The Stroll,Diamonds,1958,Oldies
66,67,"Hey, Good Lookin'","Hank Williams, Sr.",1951,Country
67,68,Because Of You,Tony Bennett,1951,Oldies
68,69,Whoe Wrote The Book Of Love,Monotones,1958,Oldies
69,70,Earth Angel,Crew-Cuts,1955,Oldies
70,71,Jambalaya (On The Bayou),Hank Williams,1954,Country
71,72,There Goes My Baby,Drifters,1959,Oldies
72,73,The Man I Love,Billie Holiday,1956,Ballad
73,74,16 Candles,Crests,1958,Oldies
74,75,Do You Want To Dance,Bobby Freeman,1958,Oldies
75,76,Ain't That A Shame,Fats Domino,1955,Oldies
76,77,Heartbreak Hotel,Elvis Presley,1956,Oldies
77,78,The Purple People Eater,Sheb Wooley,1958,Oldies
78,79,Return To Me,Dean Martin,1958,Oldies
79,80,Rock 'N' Roll Music,Chuck Berry,1957,Oldies
80,81,The Twelfth Of Never,Johnny Mathis,1957,Oldies
81,82,True Love Ways,Buddy Holly,1958,Oldies
82,83,Twilight Time,Platters,1958,Oldies
83,84,The Great Pretender,Platters,1956,Oldies
84,85,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,1959,Oldies
85,86,Too Marvelous For Words,Frank Sinatra,1955,Ballad
86,87,White Lightning,George Jones,1959,Country
87,88,A Teenager In Love,Dion & The Belmonts,1958,Oldies
88,89,Maybelline,Chuck Berry,1955,Oldies
89,90,I Wish You Love,Dean Martin,1959,Ballad
90,91,Little Darlin',Diamonds,1957,Oldies
91,92,Rock And Roll Is Here To Stay,Danny & The Juniors,1958,Oldies
92,93,The Tennessee Waltz,Patti Page,1950,Oldies
93,94,It's Only Make Believe,Conway Twitty,1958,Oldies
94,95,Too Marvelous for Words,Ella Fitzgerald,1956,Oldies
95,96,Loving You,Elvis Presley,1957,Ballad
96,97,My Prayer,Platters,1956,Oldies
97,98,Sincerely,McGuire Sisters,1955,Oldies
98,99,Cherry Pink And Apple Blossom White,Perez Prado,1955,Oldies
99,100,Love Is A Many-Splendored Thing,Four Aces,1955,Oldies
0,1,Sweet Caroline (Good Times Never Seemed So Good),Neil Diamond,1969,Oldies
1,2,Shout,Otis Day And The Knights/Isley Brothers,1967,Oldies
2,3,Brown Eyed Girl,Van Morrison,1967,Oldies
3,4,The Way You Look Tonight,Frank Sinatra,1964,Ballad
4,5,Twist And Shout,Beatles,1963,Oldies
5,6,At Last,Etta James,1961,Oldies
6,7,What A Wonderful World,Louis Armstrong,1967,Ballad
7,8,My Girl,Temptations,1965,Oldies
8,9,Can't Help Falling In Love,Elvis Presley With The Jordanaires,1961,Ballad
9,10,The Twist,Chubby Checker,1960,Oldies
10,11,Build Me Up Buttercup,Foundations,1968,Oldies
11,12,Unchained Melody,Righteous Brothers,1965,Oldies
12,13,Stand By Me,Ben E. King,1961,Oldies
13,14,Fly Me To The Moon,Frank Sinatra,1964,Big Band
14,15,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,1965,Oldies
15,16,Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,1967,Oldies
16,17,All You Need Is Love,Beatles,1967,Oldies
17,18,Ring Of Fire,Johnny Cash,1963,Oldies
18,19,(Sittin' On) The Dock Of The Bay,Otis Redding,1968,Oldies
19,20,When A Man Loves A Woman,Percy Sledge,1966,Oldies
20,21,Respect,Aretha Franklin,1967,Oldies
21,22,Wouldn't It Be Nice,Beach Boys,1966,Oldies
22,23,Mustang Sally,Wilson Pickett,1966,Oldies
23,24,L-O-V-E,Nat King Cole,1964,Ballad
24,25,Can't Take My Eyes Off You,Frankie Valli,1967,Oldies
25,26,Runaround Sue,Dion,1961,Oldies
26,27,Proud Mary,Creedence Clearwater Revival,1969,Oldies
27,28,Ain't Too Proud To Beg,Temptations,1966,Oldies
28,29,Twist And Shout,Isley Brothers,1962,Oldies
29,30,In My Life,Beatles,1965,Oldies
30,31,"Oh, Pretty Woman",Roy Orbison & Candy Men,1964,Oldies
31,32,"New York, New York",Frank Sinatra,1962,Oldies
32,33,It Had To Be You,"Harry Connick Jr,",1962,Oldies
33,34,How Sweet It Is To Be Loved By You,Marvin Gaye,1964,Oldies
34,35,I Want You Back,Jackson 5,1969,Oldies
35,36,Sugar Sugar,The Archies,1969,Oldies
36,37,Do You Love Me,Contours,1962,Oldies
37,38,I Want To Hold Your Hand,Beatles,1964,Oldies
38,39,I Saw Her Standing There,Beatles,1964,Oldies
39,40,I Got You Babe,Sonny & Cher,1965,Oldies
40,41,I Got You (I Feel Good),James Brown,1965,Oldies
41,42,Let's Twist Again,Chubby Checker,1961,Oldies
42,43,Happy Together,Turtles,1967,Oldies
43,44,For Once In My Life,Stevie Wonder,1968,Oldies
44,45,Here Comes The Sun,Beatles,1969,Alternative
45,46,(I Can't Get No) Satisfaction,Rolling Stones,1965,Oldies
46,47,Save The Last Dance For Me,Drifters With Ben E. King,1960,Oldies
47,48,Crazy,Patsy Cline,1961,Country
48,49,God Only Knows,Beach Boys,1966,Oldies
49,50,When I'm Sixty-Four,Beatles,1967,Oldies
50,51,Beyond The Sea,Bobby Darin,1960,Oldies
