rank,song_title,artist,year,genre,decade
23,"10,000 Hours",Dan + Shay & Justin Bieber,2020,Popular,2020
6,Adore You,Harry Styles,2020,Popular,2020
67,All I Want For Christmas Is You,Mariah Carey,2020,Popular,2020
46,Bad Guy,Billie Eilish,2020,Popular,2020
25,Ballin',Mustard & Roddy Ricch,2020,Popular,2020
63,Bandit,Juice WRLD & YoungBoy Never Broke Again,2020,Popular,2020
88,Be Like That,Kane Brown With Swae Lee & Khalid,2020,Popular,2020
21,Before You Go,Lewis Capaldi,2020,Popular,2020
1,Blinding Lights,The Weeknd,2020,Popular,2020
27,Blueberry Faygo,Lil Mosey,2020,Popular,2020
91,Bluebird,Miranda Lambert,2020,Popular,2020
29,BOP,DaBaby,2020,Popular,2020
33,Break My Heart,Dua Lipa,2020,Popular,2020
34,Chasin' You,Morgan Wallen,2020,Popular,2020
2,Circles,Post Malone,2020,Popular,2020
54,Come & Go,Juice WRLD x Marshmello,2020,Popular,2020
14,Dance Monkey,Tones And I,2020,Popular,2020
43,Death Bed,Powfu Featuring beabadoobee,2020,Popular,2020
65,Die From A Broken Heart,Maddie & Tae,2020,Popular,2020
83,Dior,Pop Smoke,2020,Popular,2020
93,Does To Me,Luke Combs Featuring Eric Church,2020,Popular,2020
4,Don't Start Now,Dua Lipa,2020,Popular,2020
38,Dynamite,BTS,2020,Popular,2020
74,Emotionally Scarred,Lil Baby,2020,Popular,2020
85,Even Though I'm Leaving,Luke Combs,2020,Popular,2020
18,Everything I Wanted,Billie Eilish,2020,Popular,2020
22,Falling,Trevor Daniel,2020,Popular,2020
49,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2020,Popular,2020
39,Go Crazy,Chris Brown & Young Thug,2020,Popular,2020
62,Godzilla,Eminem Featuring Juice WRLD,2020,Popular,2020
31,Good As Hell,Lizzo,2020,Popular,2020
60,Got What I Got,Jason Aldean,2020,Popular,2020
69,Hard To Forget,Sam Hunt,2020,Popular,2020
51,Heart On Ice,Rod Wave,2020,Popular,2020
28,Heartless,The Weeknd,2020,Popular,2020
40,High Fashion,Roddy Ricch Featuring Mustard,2020,Popular,2020
45,HIGHEST IN THE ROOM,Travis Scott,2020,Popular,2020
89,Homesick,Kane Brown,2020,Popular,2020
72,Hot,Young Thug Featuring Gunna,2020,Popular,2020
26,Hot Girl Bummer,blackbear,2020,Popular,2020
12,I Hope,Gabby Barrett Featuring Charlie Puth,2020,Popular,2020
73,I Hope You're Happy Now,Carly Pearce & Lee Brice,2020,Popular,2020
56,If The World Was Ending,JP Saxe Featuring Julia Michaels,2020,Popular,2020
95,ily,Surf Mesa Featuring Emilee,2020,Popular,2020
17,Intentions,Justin Bieber Featuring Quavo,2020,Popular,2020
87,Juicy,Doja Cat & Tyga,2020,Popular,2020
41,Laugh Now Cry Later,Drake Featuring Lil Durk,2020,Popular,2020
7,Life Is Good,Future Featuring Drake,2020,Popular,2020
30,Lose You To Love Me,Selena Gomez,2020,Popular,2020
97,Lovin' On You,Luke Combs,2020,Popular,2020
8,Memories,Maroon 5,2020,Popular,2020
47,Mood,24kGoldn Featuring iann dior,2020,Popular,2020
81,Mood Swings,Pop Smoke Featuring Lil Tjay,2020,Popular,2020
96,More Than My Hometown,Morgan Wallen,2020,Popular,2020
37,My Oh My,Camila Cabello Featuring DaBaby,2020,Popular,2020
36,No Guidance,Chris Brown Featuring Drake,2020,Popular,2020
52,Nobody But You,Blake Shelton Duet With Gwen Stefani,2020,Popular,2020
59,One Man Band,Old Dominion,2020,Popular,2020
70,One Margarita,Luke Bryan,2020,Popular,2020
68,One Of Them Girls,Lee Brice,2020,Popular,2020
77,Only Human,Jonas Brothers,2020,Popular,2020
94,P*$$y Fairy (OTW),Jhene Aiko,2020,Popular,2020
71,Panini,Lil Nas X,2020,Popular,2020
64,Party Girl,StaySolidRocky,2020,Popular,2020
66,Popstar,DJ Khaled Featuring Drake,2020,Popular,2020
90,Rags2Riches,Rod Wave Featuring ATR Son Son,2020,Popular,2020
48,Rain On Me,Lady Gaga & Ariana Grande,2020,Popular,2020
50,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020,Popular,2020
5,Rockstar,DaBaby Featuring Roddy Ricch,2020,Popular,2020
19,Roses,SAINt JHN,2020,Popular,2020
16,Roxanne,Arizona Zervas,2020,Popular,2020
98,Said Sum,Moneybagg Yo,2020,Popular,2020
15,Savage,Megan Thee Stallion,2020,Popular,2020
35,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020,Popular,2020
11,Say So,Doja Cat,2020,Popular,2020
44,Senorita,Shawn Mendes & Camila Cabello,2020,Popular,2020
99,Slide,H.E.R. Featuring YG,2020,Popular,2020
10,Someone You Loved,Lewis Capaldi,2020,Popular,2020
80,Stuck With U,Ariana Grande & Justin Bieber,2020,Popular,2020
75,Suicidal,YNW Melly & Juice WRLD,2020,Popular,2020
79,Sum 2 Prove,Lil Baby,2020,Popular,2020
61,Sunday Best,Surfaces,2020,Popular,2020
84,Supalonely,BENEE Featuring Gus Dapperton,2020,Popular,2020
76,The Bigger Picture,Lil Baby,2020,Popular,2020
9,The Bones,Maren Morris,2020,Popular,2020
3,The Box,Roddy Ricch,2020,Popular,2020
86,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",2020,Popular,2020
78,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,2020,Popular,2020
32,Toosie Slide,Drake,2020,Popular,2020
53,Trampoline,SHAED,2020,Popular,2020
55,Truth Hurts,Lizzo,2020,Popular,2020
100,Walk Em Down,NLE Choppa Featuring Roddy Ricch,2020,Popular,2020
24,WAP,Cardi B Featuring Megan Thee Stallion,2020,Popular,2020
20,Watermelon Sugar,Harry Styles,2020,Popular,2020
57,We Paid,Lil Baby & 42 Dugg,2020,Popular,2020
13,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020,Popular,2020
92,Wishing Well,Juice WRLD,2020,Popular,2020
42,Woah,Lil Baby,2020,Popular,2020
82,You Should Be Sad,Halsey,2020,Popular,2020
58,Yummy,Justin Bieber,2020,Popular,2020
1,Way 2 Sexy,Drake Featuring Future & Young Thug,2021,Popular,2021
2,Girls Want Girls,Drake Featuring Lil Baby,2021,Popular,2021
3,Fair Trade,Drake Featuring Travis Scott,2021,Popular,2021
4,Champagne Poetry,Drake,2021,Popular,2021
5,Knife Talk,Drake Featuring 21 Savage & Project Pat,2021,Popular,2021
6,Stay,The Kid LAROI & Justin Bieber,2021,Popular,2021
7,In The Bible,Drake Featuring Lil Durk & Giveon,2021,Popular,2021
8,Papi's Home,Drake,2021,Popular,2021
9,TSU,Drake,2021,Popular,2021
10,Love All,Drake Featuring JAY-Z,2021,Popular,2021
11,No Friends In The Industry,Drake,2021,Popular,2021
12,N 2 Deep,Drake Featuring Future,2021,Popular,2021
