,artist,album_name,album_uri,track,release_date,id,song_uri,track_href,analysis_url,type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Clueso,37 Grad im Paradies,spotify:album:5YzSgYPNMpoGhsiJuxsxx1,37 Grad im Paradies,2021-09-10,1hZdD6Jf5QB4az60f7JasG,spotify:track:1hZdD6Jf5QB4az60f7JasG,https://api.spotify.com/v1/tracks/1hZdD6Jf5QB4az60f7JasG,https://api.spotify.com/v1/audio-analysis/1hZdD6Jf5QB4az60f7JasG,audio_features,0.704,0.761,2,-5.175,0,0.0866,0.193,0.0,0.371,0.92,109.957,143904,4
1,Clueso,37 Grad im Paradies,spotify:album:5YzSgYPNMpoGhsiJuxsxx1,Willkommen Zurück (feat. Andreas Bourani),2021-09-10,39y82nQly82LaIC6o6eam3,spotify:track:39y82nQly82LaIC6o6eam3,https://api.spotify.com/v1/tracks/39y82nQly82LaIC6o6eam3,https://api.spotify.com/v1/audio-analysis/39y82nQly82LaIC6o6eam3,audio_features,0.552,0.699,0,-4.448,1,0.244,0.114,3.34e-06,0.171,0.735,96.741,149661,4
2,Clueso,37 Grad im Paradies,spotify:album:5YzSgYPNMpoGhsiJuxsxx1,Leider Berlin,2021-09-10,72JzOET71wM1n7L46ud0uy,spotify:track:72JzOET71wM1n7L46ud0uy,https://api.spotify.com/v1/tracks/72JzOET71wM1n7L46ud0uy,https://api.spotify.com/v1/audio-analysis/72JzOET71wM1n7L46ud0uy,audio_features,0.731,0.837,7,-4.29,0,0.03,0.0775,1.22e-05,0.216,0.635,119.989,192668,4
3,Clueso,37 Grad im Paradies,spotify:album:5YzSgYPNMpoGhsiJuxsxx1,Du Warst Immer Dabei,2021-09-10,0BLeKB3iteYyaS10h67TY2,spotify:track:0BLeKB3iteYyaS10h67TY2,https://api.spotify.com/v1/tracks/0BLeKB3iteYyaS10h67TY2,https://api.spotify.com/v1/audio-analysis/0BLeKB3iteYyaS10h67TY2,audio_features,0.732,0.516,6,-8.611,1,0.0999,0.761,1.24e-05,0.0819,0.665,155.939,176346,4
4,Clueso,37 Grad im Paradies,spotify:album:5YzSgYPNMpoGhsiJuxsxx1,Aber Ohne Dich,2021-09-10,2TmSY7Chow5iMpIIOLnNbq,spotify:track:2TmSY7Chow5iMpIIOLnNbq,https://api.spotify.com/v1/tracks/2TmSY7Chow5iMpIIOLnNbq,https://api.spotify.com/v1/audio-analysis/2TmSY7Chow5iMpIIOLnNbq,audio_features,0.794,0.732,8,-5.864,0,0.149,0.539,1.56e-05,0.117,0.417,98.959,172733,4
5,Clueso,37 Grad im Paradies,spotify:album:5YzSgYPNMpoGhsiJuxsxx1,Flugmodus,2021-09-10,3VrgQhEaG8ivzUZ9TMu1nH,spotify:track:3VrgQhEaG8ivzUZ9TMu1nH,https://api.spotify.com/v1/tracks/3VrgQhEaG8ivzUZ9TMu1nH,https://api.spotify.com/v1/audio-analysis/3VrgQhEaG8ivzUZ9TMu1nH,audio_features,0.724,0.535,8,-6.273,1,0.0858,0.608,0.0,0.387,0.705,140.01,178399,3
6,Clueso,37 Grad im Paradies,spotify:album:5YzSgYPNMpoGhsiJuxsxx1,Tanzen,2021-09-10,6aZJXIkdjjQGZEVOF7suGW,spotify:track:6aZJXIkdjjQGZEVOF7suGW,https://api.spotify.com/v1/tracks/6aZJXIkdjjQGZEVOF7suGW,https://api.spotify.com/v1/audio-analysis/6aZJXIkdjjQGZEVOF7suGW,audio_features,0.889,0.53,9,-5.114,0,0.0999,0.215,0.0,0.0744,0.797,99.015,167800,4
7,Clueso,37 Grad im Paradies,spotify:album:5YzSgYPNMpoGhsiJuxsxx1,Sag Mir Was Du Willst,2021-09-10,73Ghkf1A4BnC2L7ia7S18W,spotify:track:73Ghkf1A4BnC2L7ia7S18W,https://api.spotify.com/v1/tracks/73Ghkf1A4BnC2L7ia7S18W,https://api.spotify.com/v1/audio-analysis/73Ghkf1A4BnC2L7ia7S18W,audio_features,0.752,0.642,5,-5.297,1,0.049,0.364,0.0,0.269,0.669,95.001,183485,4
8,Clueso,Willkommen Zurück,spotify:album:0Qv02wmRha9676ze1Wt20x,Willkommen Zurück (feat. Andreas Bourani),2021-07-01,5KGRq831ZKRYTlptAupEJQ,spotify:track:5KGRq831ZKRYTlptAupEJQ,https://api.spotify.com/v1/tracks/5KGRq831ZKRYTlptAupEJQ,https://api.spotify.com/v1/audio-analysis/5KGRq831ZKRYTlptAupEJQ,audio_features,0.637,0.681,0,-5.049,1,0.228,0.195,6.02e-06,0.157,0.758,98.777,149655,4
9,Clueso,Willkommen Zurück,spotify:album:0Qv02wmRha9676ze1Wt20x,Leider Berlin,2021-07-01,0OLinqVSoh19VtMz2lQGSG,spotify:track:0OLinqVSoh19VtMz2lQGSG,https://api.spotify.com/v1/tracks/0OLinqVSoh19VtMz2lQGSG,https://api.spotify.com/v1/audio-analysis/0OLinqVSoh19VtMz2lQGSG,audio_features,0.731,0.829,7,-4.407,0,0.0299,0.097,1.21e-05,0.218,0.68,119.987,192984,4
10,Clueso,Willkommen Zurück,spotify:album:0Qv02wmRha9676ze1Wt20x,Du Warst Immer Dabei,2021-07-01,5gwW8EOSHXkXbnM9C7ySMN,spotify:track:5gwW8EOSHXkXbnM9C7ySMN,https://api.spotify.com/v1/tracks/5gwW8EOSHXkXbnM9C7ySMN,https://api.spotify.com/v1/audio-analysis/5gwW8EOSHXkXbnM9C7ySMN,audio_features,0.726,0.533,6,-7.784,1,0.16,0.783,4.73e-05,0.0983,0.538,156.007,175824,4
