,artist,album_name,album_uri,track,release_date,id,song_uri,track_href,analysis_url,type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Bryan Adams,Shine A Light,spotify:album:5Y3mOR1wCRhEhUmncrlLOO,Shine A Light,2019-03-01,3ScCe5tFbRmWdiOdzmaFzr,spotify:track:3ScCe5tFbRmWdiOdzmaFzr,https://api.spotify.com/v1/tracks/3ScCe5tFbRmWdiOdzmaFzr,https://api.spotify.com/v1/audio-analysis/3ScCe5tFbRmWdiOdzmaFzr,audio_features,0.551,0.859,0,-3.941,1,0.0383,0.000727,7.92e-06,0.178,0.69,126.958,206027,4
1,Bryan Adams,Shine A Light,spotify:album:5Y3mOR1wCRhEhUmncrlLOO,That’s How Strong Our Love Is,2019-03-01,07kLD3T6vgzF67xstRY030,spotify:track:07kLD3T6vgzF67xstRY030,https://api.spotify.com/v1/tracks/07kLD3T6vgzF67xstRY030,https://api.spotify.com/v1/audio-analysis/07kLD3T6vgzF67xstRY030,audio_features,0.613,0.874,2,-3.468,1,0.0427,0.000843,3.11e-06,0.254,0.546,140.053,212320,4
2,Bryan Adams,Shine A Light,spotify:album:5Y3mOR1wCRhEhUmncrlLOO,"Part Friday Night, Part Sunday Morning",2019-03-01,03EOxxAVZeLJudrEoZy5QP,spotify:track:03EOxxAVZeLJudrEoZy5QP,https://api.spotify.com/v1/tracks/03EOxxAVZeLJudrEoZy5QP,https://api.spotify.com/v1/audio-analysis/03EOxxAVZeLJudrEoZy5QP,audio_features,0.591,0.886,7,-3.252,1,0.0397,0.0736,0.0,0.0813,0.788,166.025,193293,4
3,Bryan Adams,Shine A Light,spotify:album:5Y3mOR1wCRhEhUmncrlLOO,Driving Under The Influence Of Love,2019-03-01,5kTvflpp7UWdwtWx30qxh3,spotify:track:5kTvflpp7UWdwtWx30qxh3,https://api.spotify.com/v1/tracks/5kTvflpp7UWdwtWx30qxh3,https://api.spotify.com/v1/audio-analysis/5kTvflpp7UWdwtWx30qxh3,audio_features,0.549,0.981,3,-2.745,1,0.0475,0.0198,0.0,0.112,0.7,141.034,158507,4
4,Bryan Adams,Shine A Light,spotify:album:5Y3mOR1wCRhEhUmncrlLOO,All Or Nothing,2019-03-01,6yJXZ7316fOqnWrkR8g7Zi,spotify:track:6yJXZ7316fOqnWrkR8g7Zi,https://api.spotify.com/v1/tracks/6yJXZ7316fOqnWrkR8g7Zi,https://api.spotify.com/v1/audio-analysis/6yJXZ7316fOqnWrkR8g7Zi,audio_features,0.665,0.922,7,-1.181,1,0.054,0.0863,0.0,0.0976,0.852,127.022,179080,4
5,Bryan Adams,Shine A Light,spotify:album:5Y3mOR1wCRhEhUmncrlLOO,No Time For Love,2019-03-01,6kKNEbbJxDA1q4anKaoICt,spotify:track:6kKNEbbJxDA1q4anKaoICt,https://api.spotify.com/v1/tracks/6kKNEbbJxDA1q4anKaoICt,https://api.spotify.com/v1/audio-analysis/6kKNEbbJxDA1q4anKaoICt,audio_features,0.637,0.903,4,-4.014,1,0.0745,0.0747,0.0,0.0903,0.494,148.076,124400,4
6,Bryan Adams,Shine A Light,spotify:album:5Y3mOR1wCRhEhUmncrlLOO,I Could Get Used To This,2019-03-01,4Ad1OojGum0NyT3Szoo7xF,spotify:track:4Ad1OojGum0NyT3Szoo7xF,https://api.spotify.com/v1/tracks/4Ad1OojGum0NyT3Szoo7xF,https://api.spotify.com/v1/audio-analysis/4Ad1OojGum0NyT3Szoo7xF,audio_features,0.556,0.974,2,-2.392,1,0.0349,0.00171,0.00184,0.319,0.968,125.044,108867,3
7,Bryan Adams,Shine A Light,spotify:album:5Y3mOR1wCRhEhUmncrlLOO,Talk To Me,2019-03-01,4UCQnTcZHT8rrjSYtVBPXl,spotify:track:4UCQnTcZHT8rrjSYtVBPXl,https://api.spotify.com/v1/tracks/4UCQnTcZHT8rrjSYtVBPXl,https://api.spotify.com/v1/audio-analysis/4UCQnTcZHT8rrjSYtVBPXl,audio_features,0.645,0.585,5,-5.062,1,0.0286,0.479,2e-06,0.174,0.363,136.016,185440,4
8,Bryan Adams,Shine A Light,spotify:album:5Y3mOR1wCRhEhUmncrlLOO,The Last Night On Earth,2019-03-01,1Ght2MoggrSFbOjlACXBAa,spotify:track:1Ght2MoggrSFbOjlACXBAa,https://api.spotify.com/v1/tracks/1Ght2MoggrSFbOjlACXBAa,https://api.spotify.com/v1/audio-analysis/1Ght2MoggrSFbOjlACXBAa,audio_features,0.607,0.8,9,-4.194,1,0.0271,0.00633,9.02e-06,0.506,0.691,130.007,186627,4
9,Bryan Adams,Shine A Light,spotify:album:5Y3mOR1wCRhEhUmncrlLOO,Nobody’s Girl,2019-03-01,1QCXM4ycCzEZG2EjqmZ99A,spotify:track:1QCXM4ycCzEZG2EjqmZ99A,https://api.spotify.com/v1/tracks/1QCXM4ycCzEZG2EjqmZ99A,https://api.spotify.com/v1/audio-analysis/1QCXM4ycCzEZG2EjqmZ99A,audio_features,0.521,0.945,4,-3.479,1,0.0542,0.00833,2.38e-06,0.0817,0.572,135.951,164093,4
